Year,Units,Series,type of unpaid work,degree of urbanisation,age group,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2013,percentage,time spent on unpaid domestic and care work,domestic work,rural areas,65 years and older,male,,,,13.1
2022,percentage,time spent on unpaid domestic and care work,domestic work,rural areas,65 years and older,male,,,,14.8
2013,percentage,time spent on unpaid domestic and care work,care work,,,,,,,1.2
2022,percentage,time spent on unpaid domestic and care work,care work,,,,,,,1.7
2013,percentage,time spent on unpaid domestic and care work,care work,urban,,,,,,1.2
2022,percentage,time spent on unpaid domestic and care work,care work,urban,,,,,,1.7
2013,percentage,time spent on unpaid domestic and care work,care work,rural areas,,,,,,1.1
2022,percentage,time spent on unpaid domestic and care work,care work,rural areas,,,,,,1.6
2013,percentage,time spent on unpaid domestic and care work,care work,,15 years and older,,,,,1.3
2022,percentage,time spent on unpaid domestic and care work,care work,,15 years and older,,,,,1.8
2013,percentage,time spent on unpaid domestic and care work,care work,,25 to under 45 years,,,,,3.4
2022,percentage,time spent on unpaid domestic and care work,care work,,25 to under 45 years,,,,,4.6
2013,percentage,time spent on unpaid domestic and care work,care work,,45 to under 55 years,,,,,0.8
2022,percentage,time spent on unpaid domestic and care work,care work,,45 to under 55 years,,,,,1.5
2022,percentage,time spent on unpaid domestic and care work,care work,,55 to under 65 years,,,,,0.3
2013,percentage,time spent on unpaid domestic and care work,care work,,,female,,,,1.6
2022,percentage,time spent on unpaid domestic and care work,care work,,,female,,,,2.2
2013,percentage,time spent on unpaid domestic and care work,care work,,,male,,,,0.8
2022,percentage,time spent on unpaid domestic and care work,care work,,,male,,,,1.2
2013,percentage,time spent on unpaid domestic and care work,care work,urban,,female,,,,1.6
2022,percentage,time spent on unpaid domestic and care work,care work,urban,,female,,,,2.2
2013,percentage,time spent on unpaid domestic and care work,care work,rural areas,,female,,,,1.5
2022,percentage,time spent on unpaid domestic and care work,care work,rural areas,,female,,,,2.1
2013,percentage,time spent on unpaid domestic and care work,care work,,15 years and older,female,,,,1.7
2022,percentage,time spent on unpaid domestic and care work,care work,,15 years and older,female,,,,2.3
2013,percentage,time spent on unpaid domestic and care work,care work,,25 to under 45 years,female,,,,5.0
2022,percentage,time spent on unpaid domestic and care work,care work,,25 to under 45 years,female,,,,6.4
2013,percentage,time spent on unpaid domestic and care work,care work,,45 to under 55 years,female,,,,0.9
2022,percentage,time spent on unpaid domestic and care work,care work,,45 to under 55 years,female,,,,1.7
2022,percentage,time spent on unpaid domestic and care work,care work,,55 to under 65 years,female,,,,0.3
